iter	Passed	Remaining
398	213289	53990
399	213788	53447
400	214373	52925
401	214879	52383
402	215825	51948
403	216199	51374
404	216706	50832
405	217414	50337
406	217977	49808
407	218355	49236
408	218918	48708
409	219428	48167
410	219951	47629
411	220492	47095
412	221371	46632
413	221871	46089
414	222255	45522
415	222652	44958
416	223174	44420
417	223596	43863
418	224140	43330
419	224580	42777
420	225151	42249
421	225617	41701
422	226144	41165
423	226657	40627
424	227283	40108
425	227689	39551
426	228227	39017
427	228920	38510
428	229287	37947
429	229795	37408
430	230257	36862
431	230773	36325
432	231480	35817
433	231949	35273
434	232473	34737
435	232978	34198
436	233453	33655
437	233901	33109
438	234390	32569
439	234936	32036
440	235453	31500
441	235960	30963
442	236440	30422
443	236961	29887
444	237507	29354
445	238052	28822
446	239339	28378
447	240022	27859
448	240549	27323
449	241018	26779
450	241640	26253
451	242075	25707
452	242661	25176
453	243346	24656
454	243937	24125
455	244624	23604
456	246041	23150
457	246588	22612
458	247162	22077
459	247727	21541
460	248297	21005
461	248876	20470
462	249307	19923
463	249937	19391
464	250463	18852
465	251071	18318
466	252019	17808
467	252678	17277
468	253159	16733
469	253697	16193
470	254374	15662
471	254928	15122
472	255584	14589
473	256165	14051
474	256686	13509
475	257245	12970
476	257767	12429
477	258324	11889
478	258941	11352
479	259493	10812
480	260137	10275
481	260441	9726
482	261324	9197
483	262023	8661
484	262657	8123
485	263231	7582
486	263674	7038
487	264241	6497
488	265270	5967
489	265878	5426
490	266482	4884
491	267092	4342
492	267486	3797
493	268180	3257
494	268954	2716
495	269482	2173
496	270132	1630
497	270744	1087
498	271300	543
499	272072	0
