iter	RMSE
389	0.3514668897
390	0.3514642009
391	0.3514622207
392	0.3514619801
393	0.3514602355
394	0.3514569906
395	0.3514561814
396	0.3514537351
397	0.3514517264
398	0.3514504424
399	0.3514485948
400	0.3514470014
401	0.3514456639
402	0.351444162
403	0.3514435646
404	0.3514421968
405	0.3514396786
406	0.351436775
407	0.3514327645
408	0.3514308544
409	0.3514261435
410	0.3514227166
411	0.3514208956
412	0.3514188962
413	0.3514172988
414	0.3514146426
415	0.3514135207
416	0.3514093543
417	0.3514076196
418	0.351406419
419	0.3514050027
420	0.3514031643
421	0.3514018784
422	0.3513988757
423	0.3513973996
424	0.351395371
425	0.3513928896
426	0.3513919473
427	0.3513888119
428	0.3513878803
429	0.3513838819
430	0.3513820811
431	0.3513813904
432	0.3513775358
433	0.351377441
434	0.3513722047
435	0.3513714184
436	0.3513694104
437	0.351367908
438	0.3513663285
439	0.3513653574
440	0.3513634239
441	0.3513615765
442	0.3513597244
443	0.3513564274
444	0.3513560158
445	0.3513536466
446	0.3513506336
447	0.3513500364
448	0.35134683
449	0.3513457951
450	0.3513421906
451	0.3513415567
452	0.3513395822
453	0.3513363425
454	0.3513352957
455	0.3513327136
456	0.3513310953
457	0.3513290657
458	0.3513286853
459	0.3513273281
460	0.3513255846
461	0.3513215696
462	0.3513205598
463	0.3513184591
464	0.3513178588
465	0.3513163457
466	0.3513146305
467	0.351313866
468	0.3513121965
469	0.3513112114
470	0.3513074911
471	0.3513053949
472	0.3513031587
473	0.3512991002
474	0.3512956519
475	0.351292105
476	0.3512913975
477	0.351287441
478	0.35128376
479	0.3512809755
480	0.3512765124
481	0.3512757226
482	0.3512710721
483	0.3512691433
484	0.3512653444
485	0.3512639441
486	0.3512615379
487	0.351257698
488	0.3512550636
489	0.351251603
490	0.3512469672
491	0.3512448701
492	0.3512438436
493	0.3512395922
494	0.351237549
495	0.3512371175
496	0.3512356404
497	0.351232833
498	0.3512311934
499	0.3512296329
